id,name,description,work_flow,audio_codec,audio_channel,audio_data_rate,audio_format,audio_sample_rate,audio_sample_size,video_codec,video_bit_rate,video_bit_rate_max_percent,video_bit_rate_method,video_frame_rate,video_frame_size,video_key_frame,adaptive_bframe_placement,adaptive_quant_brightness_base,adaptive_quant_contrast_base,ad_converter,adaptive_quant_complexity_base,alpha_deblocking,aspect_ratio,auto_key_frames_enabled,auto_key_frames,auto_key_frame_threshold,auto_level,automatic_settings_profile,bandwidth_filter,beta_deblocking,bframe_pyramid,bitrate_buffer,bitstream,bitstream_type,black_normalization_level,cabac,center_mix_level_loro,center_mix_level_ltrt,channemapping,color_depth,color_range_and_coeffients,compression_speed,constrained_quality_level,cpu_usage,crc,crf,cut_off_frequency,data_rate_automatic,decode_cpu_cores,dialog_normalization,dolby_surroundex,dolby_surround_mode,drop_frames_threshold,drop_frames_to_maintain_data_rate,drop_frames_watermark,drop_frame_time_code,enable_auto_alt_ref,encoder_mode,encode_type,encoding_threads,error_resilient,fake_interlaced,fast_decode,field_encoding,field_order,film_mode_frame_rate_conversion,fixed_iframe_distance,force_key_frame_every,frame_reordering,header_type,headphone_mode,hf_cut_off,hrd_conformance,idr_rate,input_filtering,input_filtering_dc_fitler,input_filtering_digital_deem_phasis,interlaced,interlace_mode,lagged_frames,level,lfe,lfe_low_pass_filter,line_mode_compression1,line_mode_compression2,max_bframe_size,max_brframe_size,max_iframe_size,maximum_buffer_size,maximum_quality,max_pframe_size,metadata,metadata_copyright_material,metadata_original_material,minimum_distance_to_key_frame,minimum_quality,mixing_level,motion_estimation_algorithm,motion_estimation_search_range,max_bit_rate_percent,noise_sensitivity,number_of_bframes,number_of_bpictures,number_of_reference_frames,number_of_slices,optimal_buffer_level,performance,pixel_aspect_ratio,preset,profile,quality,rate_control_resizing,rate_control_resizing_up_threshold,rate_control_resizing_down_threshold,rf_mode_compression1,rf_mode_compression2,room_type,set_key_frame_at_scene_change,sharpness,speed,starting_buffer_level,static_region_threshold,subpixel_motion_estimation,surround_channel,surround_channel_3d_attenuation,surround_channel_90degree_phase_shift,surround_mix_level_loro,surround_mix_level_ltrt,time_stamp_offset,tns,tune,two_pass_vbr_bias,two_pass_vbr_max_section,two_pass_vbr_min_section,under_shoot_pct,use_4mv,use_bslice_as_reference,use_deblocking_filter,use_intensity_compensation,use_variable_sized_transformation,vbv_buffer_initial,vbv_buffer_target,visual_tuning,write_hrd_parameter,write_seq_end_code,zero_latency
44,MP4_Blu-ray_24_1080p.spfx,"Recommended for use with DVD authoring applications for progressive source files having frame dimensions of 1920x1080 with 24fps.","Disc.Blu-ray Authoring.h264","MCptAC3 ",ChannelModeStereo,384000,"",48000,16,"MCpt264 ",25000000,120%,BitRateModeTwoPassVBR,24,1920x1080,10/Seconds,True,0,0,Standard,0,,,,,,False,Default,True,,False,3750000,"Main audio service: complete main (CM)",Independent,True,CABAC,"-3.0 dB","-3.0 dB","Preset 4:  L,  R,  C, LFE,  Ls,   Rs",,"Range 16-235, ITU-R Rec. BT.470-2",,,,,,,,,-27,"Not indicated","Not indicated",,,,False,,"Dolby Digital",,,,,,,"Top Field First",,True,,,,"Not indicated",,True,1,True,,,,Progressive,,4.1,True,True,"Film standard compression","Film standard compression",0,0,0,,,0,True,,,,,105,,,,,3,,2,0,,10,"16:9 Display",,High,,,,,"Film standard compression","Film standard compression","Small room, flat monitor",,,,,,,False,,,"-3.0 dB","-3.0 dB",,,,,,,,,False,,,,0,100,,,,
45,MP4_Blu-ray_24_1440x1080p.spfx,"Recommended for use with DVD authoring applications for interlaced source files having frame dimensions of 1400x1080 with 24fps.","Disc.Blu-ray Authoring.h264","MCptAC3 ",ChannelModeStereo,384000,"",48000,16,"MCpt264 ",20000000,125%,BitRateModeTwoPassVBR,24,1440x1080,10/Seconds,True,0,0,Standard,0,,,,,,False,Default,True,,False,3125000,"Main audio service: complete main (CM)",Independent,True,CABAC,"-3.0 dB","-3.0 dB","Preset 4:  L,  R,  C, LFE,  Ls,   Rs",,"Range 16-235, ITU-R Rec. BT.470-2",,,,,,,,,-27,"Not indicated","Not indicated",,,,False,,"Dolby Digital",,,,,,,"Top Field First",,True,,,,"Not indicated",,True,1,True,,,,Progressive,,4.1,True,True,"Film standard compression","Film standard compression",0,0,0,,,0,True,,,,,105,,,,,3,,2,0,,10,"16:9 Display",,High,,,,,"Film standard compression","Film standard compression","Small room, flat monitor",,,,,,,False,,,"-3.0 dB","-3.0 dB",,,,,,,,,False,,,,0,100,,,,
46,MP4_Blu-ray_24_720p.spfx,"Recommended for use with DVD authoring applications for progressive source files having frame dimensions of 1280x720 with 24fps.","Disc.Blu-ray Authoring.h264","MCptAC3 ",ChannelModeStereo,384000,"",48000,16,"MCpt264 ",15000000,135%,BitRateModeTwoPassVBR,24,1280x720,10/Seconds,True,0,0,Standard,0,,,,,,False,Default,True,,False,2531250,"Main audio service: complete main (CM)",Independent,True,CABAC,"-3.0 dB","-3.0 dB","Preset 4:  L,  R,  C, LFE,  Ls,   Rs",,"Range 16-235, ITU-R Rec. BT.470-2",,,,,,,,,-27,"Not indicated","Not indicated",,,,False,,"Dolby Digital",,,,,,,"Top Field First",,True,,,,"Not indicated",,True,1,True,,,,Progressive,,4.1,True,True,"Film standard compression","Film standard compression",0,0,0,,,0,True,,,,,105,,,,,3,,2,0,,10,"16:9 Display",,High,,,,,"Film standard compression","Film standard compression","Small room, flat monitor",,,,,,,False,,,"-3.0 dB","-3.0 dB",,,,,,,,,False,,,,0,100,,,,
47,MP4_Blu-ray_25_1080i.spfx,"Recommended for use with DVD authoring applications for interlaced source files having frame dimensions of 1920x1080 with 25fps.","Disc.Blu-ray Authoring.h264","MCptAC3 ",ChannelModeStereo,384000,"",48000,16,"MCpt264 ",25000000,120%,BitRateModeTwoPassVBR,25,1920x1080,10/Seconds,True,0,0,Standard,0,,,,,,False,Default,True,,False,3750000,"Main audio service: complete main (CM)",Independent,True,CABAC,"-3.0 dB","-3.0 dB","Preset 4:  L,  R,  C, LFE,  Ls,   Rs",,"Range 16-235, ITU-R Rec. BT.470-2",,,,,,,,,-27,"Not indicated","Not indicated",,,,False,,"Dolby Digital",,,,,,,"Top Field First",,True,,,,"Not indicated",,True,1,True,,,,Interlaced,,4.1,True,True,"Film standard compression","Film standard compression",0,0,0,,,0,True,,,,,105,,,,,3,,2,0,,10,"16:9 Display",,High,,,,,"Film standard compression","Film standard compression","Small room, flat monitor",,,,,,,False,,,"-3.0 dB","-3.0 dB",,,,,,,,,False,,,,0,100,,,,
48,MP4_Blu-ray_25_1440x1080i.spfx,"Recommended for use with DVD authoring applications for interlaced source files having frame dimensions of 1440x1080 with 25fps.","Disc.Blu-ray Authoring.h264","MCptAC3 ",ChannelModeStereo,384000,"",48000,16,"MCpt264 ",20000000,125%,BitRateModeTwoPassVBR,25,1440x1080,10/Seconds,True,0,0,Standard,0,,,,,,False,Default,True,,False,3125000,"Main audio service: complete main (CM)",Independent,True,CABAC,"-3.0 dB","-3.0 dB","Preset 4:  L,  R,  C, LFE,  Ls,   Rs",,"Range 16-235, ITU-R Rec. BT.470-2",,,,,,,,,-27,"Not indicated","Not indicated",,,,False,,"Dolby Digital",,,,,,,"Top Field First",,True,,,,"Not indicated",,True,1,True,,,,Interlaced,,4.1,True,True,"Film standard compression","Film standard compression",0,0,0,,,0,True,,,,,105,,,,,3,,2,0,,10,"16:9 Display",,High,,,,,"Film standard compression","Film standard compression","Small room, flat monitor",,,,,,,False,,,"-3.0 dB","-3.0 dB",,,,,,,,,False,,,,0,100,,,,
49,MP4_Blu-ray_29.97_1080i.spfx,"Recommended for use with DVD authoring applications for interlaced source files having frame dimensions of 1920x1080 with 29.97fps.","Disc.Blu-ray Authoring.h264","MCptAC3 ",ChannelModeStereo,384000,"",48000,16,"MCpt264 ",25000000,120%,BitRateModeTwoPassVBR,29.97,1920x1080,10/Seconds,True,0,0,Standard,0,,,,,,False,Default,True,,False,3750000,"Main audio service: complete main (CM)",Independent,True,CABAC,"-3.0 dB","-3.0 dB","Preset 4:  L,  R,  C, LFE,  Ls,   Rs",,"Range 16-235, ITU-R Rec. BT.470-2",,,,,,,,,-27,"Not indicated","Not indicated",,,,False,,"Dolby Digital",,,,,,,"Top Field First",,True,,,,"Not indicated",,True,1,True,,,,Interlaced,,4.1,True,True,"Film standard compression","Film standard compression",0,0,0,,,0,True,,,,,105,,,,,3,,2,0,,10,"16:9 Display",,High,,,,,"Film standard compression","Film standard compression","Small room, flat monitor",,,,,,,False,,,"-3.0 dB","-3.0 dB",,,,,,,,,False,,,,0,100,,,,
50,MP4_Blu-ray_29.97_1440x1080i.spfx,"Recommended for use with DVD authoring applications for interlaced source files having frame dimensions of 1920x1080 with 29.97fps.","Disc.Blu-ray Authoring.h264","MCptAC3 ",ChannelModeStereo,384000,"",48000,16,"MCpt264 ",20000000,125%,BitRateModeTwoPassVBR,29.97,1440x1080,10/Seconds,True,0,0,Standard,0,,,,,,False,Default,True,,False,3125000,"Main audio service: complete main (CM)",Independent,True,CABAC,"-3.0 dB","-3.0 dB","Preset 4:  L,  R,  C, LFE,  Ls,   Rs",,"Range 16-235, ITU-R Rec. BT.470-2",,,,,,,,,-27,"Not indicated","Not indicated",,,,False,,"Dolby Digital",,,,,,,"Top Field First",,True,,,,"Not indicated",,True,1,True,,,,Interlaced,,4.1,True,True,"Film standard compression","Film standard compression",0,0,0,,,0,True,,,,,105,,,,,3,,2,0,,10,"16:9 Display",,High,,,,,"Film standard compression","Film standard compression","Small room, flat monitor",,,,,,,False,,,"-3.0 dB","-3.0 dB",,,,,,,,,False,,,,0,100,,,,
51,MP4_Gen1_h264_1400Kbps_480p.spfx,"AVC Baseline Profile. Compatible with Apple TV (1G), iPad, and iPhone/iPod touch, and Android (1G) devices.","Devices.Apple/Android/Connected Devices Hybrid.Gen 1.h264",AACAudioCodec,ChannelModeStereo,128000,None,44100,16,MCptH264,1272000,110%,BitRateModeTwoPassVBR,-1,640x480,10/Seconds,True,0,0,,0,,,,,,False,,,,False,174900,,,True,,,,,,"Range 16-235, ITU-R Rec. BT.470-2",,,,,,,,,,,,,,,,,,,,,,,,"Top Field First",,True,,,,,,False,1,,,,,Progressive,,3.0,,,,,0,0,0,,,0,,,,,,,,,,,0,,,0,,10,"Square Pixels",,Baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,174900,,,,
52,MP4_Gen1_h264_2500Kbps_480p.spfx,"AVC Baseline Profile. Compatible with Apple TV (1G), iPad, and iPhone/iPod touch, and Android (1G) devices.","Devices.Apple/Android/Connected Devices Hybrid.Gen 1.h264",AACAudioCodec,ChannelModeStereo,160000,None,44100,16,MCptH264,1272000,110%,BitRateModeTwoPassVBR,-1,640x480,10/Seconds,True,0,0,,0,,,,,,False,,,,False,174900,,,True,CAVLC,,,,,"Range 16-235, ITU-R Rec. BT.470-2",,,,,,,,,,,,,,,,,,,,,,,,"Top Field First",,True,,,,,,False,1,,,,,Progressive,,3.0,,,,,0,0,0,,,0,,,,,,,,,,,0,,,0,,10,"Square Pixels",,Baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,174900,,,,
53,MP4_Gen1_h264_768Kbps_480p.spfx,"AVC Baseline Profile. Compatible with Apple TV (1G), iPad, and iPhone/iPod touch, and Android (1G) devices.","Devices.Apple/Android/Connected Devices Hybrid.Gen 1.h264",AACAudioCodec,ChannelModeStereo,128000,None,44100,16,MCptH264,592000,129%,BitRateModeTwoPassVBR,-1,640x480,10/Seconds,True,0,0,,0,,,,,,False,,,,False,95460,,,True,CAVLC,,,,,"Range 16-235, ITU-R Rec. BT.470-2",,,,,,,,,,,,,,,,,,,,,,,,"Top Field First",,True,,,,,,False,1,,,,,Progressive,,3.0,,,,,0,0,0,,,0,,,,,,,,,,,0,,,0,,10,"Square Pixels",,Baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,95460,,,,
54,MP4_Gen1_x264_1400Kbps_480p.spfx,"AVC Baseline Profile. Compatible with Apple TV (1G), iPad, and iPhone/iPod touch, and Android (1G) devices.","Devices.Apple/Android/Connected Devices Hybrid.Gen 1.x264",AACAudioCodec,ChannelModeStereo,128000,None,48000,16,x264H264,1272000,200%,BitRateModeTwoPassVBR,-1,640x480,10/Seconds,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,2.300000000000e+01,,,,,,,,,,,,,,,,False,False,,"Top Field First",,,,,,,,,,,,,False,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,baseline,,,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,False
55,MP4_Gen1_x264_2500Kbps_480p.spfx,"AVC Baseline Profile. Compatible with Apple TV (1G), iPad, and iPhone/iPod touch, and Android (1G) devices.","Devices.Apple/Android/Connected Devices Hybrid.Gen 1.x264",AACAudioCodec,ChannelModeStereo,128000,None,44100,16,x264H264,1400000,180%,BitRateModeTwoPassVBR,-1,640x480,10/Seconds,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,2.300000000000e+01,,,,,,,,,,,,,,,,False,False,,"Top Field First",,,,,,,,,,,,,False,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,baseline,,,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,False
56,MP4_Gen1_x264_720Kbps_480p.spfx,"AVC Baseline Profile. Compatible with Apple TV (1G), iPad, and iPhone/iPod touch, and Android (1G) devices.","Devices.Apple/Android/Connected Devices Hybrid.Gen 1.x264",AACAudioCodec,ChannelModeStereo,128000,None,44100,16,x264H264,592000,129%,BitRateModeTwoPassVBR,-1,640x480,10/Seconds,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,2.300000000000e+01,,,,,,,,,,,,,,,,False,False,,"Top Field First",,,,,,,,,,,,,False,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,baseline,,,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,False
57,MP4_Gen2_h264_1400Kbps_480p.spfx,"AVC Main Profile. Compatible with Apple TV (2G), iPad, and iPhone/iPod touch, and Android (2G) devices.","Devices.Apple/Android/Connected Devices Hybrid.Gen 2.h264",AACAudioCodec,ChannelModeStereo,128000,None,44100,16,MCptH264,1200000,116%,BitRateModeTwoPassVBR,-1,640x480,10/Seconds,True,0,0,,0,,,,,,False,,,,True,174000,,,True,,,,,,"Range 16-235, ITU-R Rec. BT.470-2",,,,,,,,,,,,,,,,,,,,,,,,"Top Field First",,True,,,,,,False,1,,,,,Progressive,,3.0,,,,,0,0,0,,,0,,,,,,,,,,,3,,,0,,10,"Square Pixels",,Main,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,174000,,,,
58,MP4_Gen2_h264_2500Kbps_480p.spfx,"AVC Main Profile. Compatible with Apple TV (2G), iPad, and iPhone/iPod touch, and Android (2G) devices.","Devices.Apple/Android/Connected Devices Hybrid.Gen 2.h264",AACAudioCodec,ChannelModeStereo,160000,None,44100,16,MCptH264,1400000,178%,BitRateModeTwoPassVBR,-1,640x480,10/Seconds,True,0,0,,0,,,,,,False,,,,True,311500,,,True,CABAC,,,,,"Range 16-235, ITU-R Rec. BT.470-2",,,,,,,,,,,,,,,,,,,,,,,,"Top Field First",,True,,,,,,False,1,,,,,Progressive,,3.0,,,,,0,0,0,,,0,,,,,,,,,,,3,,,0,,10,"Square Pixels",,Main,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,311500,,,,
59,MP4_Gen2_h264_768Kbps_480p.spfx,"AVC Main Profile. Compatible with Apple TV (2G), iPad, and iPhone/iPod touch, and Android (2G) devices.","Devices.Apple/Android/Connected Devices Hybrid.Gen 2.h264",AACAudioCodec,ChannelModeStereo,128000,None,44100,16,MCptH264,592000,129%,BitRateModeTwoPassVBR,-1,640x480,10/Seconds,True,0,0,,0,,,,,,False,,,,True,95460,,,True,,,,,,"Range 16-235, ITU-R Rec. BT.470-2",,,,,,,,,,,,,,,,,,,,,,,,"Top Field First",,True,,,,,,False,1,,,,,Progressive,,3.0,,,,,0,0,0,,,0,,,,,,,,,,,3,,,0,,10,"Square Pixels",,Main,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,95460,,,,
60,MP4_Gen2_x264_1400Kbps_480p.spfx,"AVC Main Profile. Compatible with Apple TV (2G), iPad, and iPhone/iPod touch, and Android (2G) devices.","Devices.Apple/Android/Connected Devices Hybrid.Gen 2.x264",AACAudioCodec,ChannelModeStereo,128000,None,44100,16,x264H264,1200000,116%,BitRateModeTwoPassVBR,-1,640x480,10/Seconds,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,2.300000000000e+01,,,,,,,,,,,,,,,,False,False,,"Top Field First",,,,,,,,,,,,,False,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,main,,,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,False
61,MP4_Gen2_x264_2500Kbps_480p.spfx,"AVC Main Profile. Compatible with Apple TV (2G), iPad, and iPhone/iPod touch, and Android (2G) devices.","Devices.Apple/Android/Connected Devices Hybrid.Gen 2.x264",AACAudioCodec,ChannelModeStereo,160000,None,44100,16,x264H264,1400000,178%,BitRateModeTwoPassVBR,-1,640x480,10/Seconds,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,2.300000000000e+01,,,,,,,,,,,,,,,,False,False,,"Top Field First",,,,,,,,,,,,,False,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,main,,,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,False
62,MP4_Gen2_x264_720Kbps_480p.spfx,"AVC Main Profile. Compatible with Apple TV (2G), iPad, and iPhone/iPod touch, and Android (2G) devices.","Devices.Apple/Android/Connected Devices Hybrid.Gen 2.x264",AACAudioCodec,ChannelModeStereo,128000,None,44100,16,x264H264,592000,129%,BitRateModeTwoPassVBR,-1,640x480,10/Seconds,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,2.300000000000e+01,,,,,,,,,,,,,,,,False,False,,"Top Field First",,,,,,,,,,,,,False,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,main,,,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,False
63,MP4_Gen3_h264_10Mbps_720p.spfx,"AVC High Profilie. Compatible with Apple TV (2G), iPad, and iPhone/iPod touch with Retina Display, and Android (3G) devices.","Devices.Apple/Android/Connected Devices Hybrid.Gen 3.h264",AACAudioCodec,ChannelModeStereo,320000,None,48000,16,MCptH264,7100000,140%,BitRateModeTwoPassVBR,-1,1280x720,10/Seconds,True,0,0,,0,,,,,,False,,,,True,1242500,,,True,CABAC,,,,,"Range 16-235, ITU-R Rec. BT.470-2",,,,,,,,,,,,,,,,,,,,,,,,"Top Field First",,True,,,,,,False,1,,,,,Progressive,,3.1,,,,,0,0,0,,,0,,,,,,,,,,,3,,,0,,10,"16:9 Display",,High,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,1242500,,,,
64,MP4_Gen3_h264_2500Kbps_720p.spfx,"AVC High Profilie. Compatible with Apple TV (2G), iPad, and iPhone/iPod touch with Retina Display, and Android (3G) devices.","Devices.Apple/Android/Connected Devices Hybrid.Gen 3.h264",AACAudioCodec,ChannelModeStereo,160000,None,44100,16,MCptH264,1400000,175%,BitRateModeTwoPassVBR,-1,1280x720,10/Seconds,True,0,0,,0,,,,,,False,,,,True,306250,,,True,,,,,,"Range 16-235, ITU-R Rec. BT.470-2",,,,,,,,,,,,,,,,,,,,,,,,"Top Field First",,True,,,,,,False,1,,,,,Progressive,,3.1,,,,,0,0,0,,,0,,,,,,,,,,,3,,,0,,10,"16:9 Display",,High,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,306250,,,,
65,MP4_Gen3_h264_5Mbps_720p.spfx,"AVC High Profilie. Compatible with Apple TV (2G), iPad, and iPhone/iPod touch with Retina Display, and Android (3G) devices.","Devices.Apple/Android/Connected Devices Hybrid.Gen 3.h264",AACAudioCodec,ChannelModeStereo,192000,None,44100,16,MCptH264,2800000,178%,BitRateModeTwoPassVBR,-1,1280x720,10/Seconds,True,0,0,,0,,,,,,False,,,,True,623000,,,True,CABAC,,,,,"Range 16-235, ITU-R Rec. BT.470-2",,,,,,,,,,,,,,,,,,,,,,,,"Top Field First",,True,,,,,,False,1,,,,,Progressive,,3.1,,,,,0,0,0,,,0,,,,,,,,,,,3,,,0,,10,"16:9 Display",,High,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,623000,,,,
66,MP4_Gen3_x264_10Mbps_720p.spfx,"AVC High Profilie. Compatible with Apple TV (2G), iPad, and iPhone/iPod touch with Retina Display, and Android (3G) devices.","Devices.Apple/Android/Connected Devices Hybrid.Gen 3.x264",AACAudioCodec,ChannelModeStereo,160000,None,44100,16,x264H264,7100000,140%,BitRateModeTwoPassVBR,-1,1280x720,10/Seconds,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,2.300000000000e+01,,,,,,,,,,,,,,,,False,False,,"Top Field First",,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,high,,,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,False
67,MP4_Gen3_x264_2500Kbps_720p.spfx,"AVC High Profilie. Compatible with Apple TV (2G), iPad, and iPhone/iPod touch with Retina Display, and Android (3G) devices.","Devices.Apple/Android/Connected Devices Hybrid.Gen 3.x264",AACAudioCodec,ChannelModeStereo,160000,None,44100,16,x264H264,1400000,178%,BitRateModeTwoPassVBR,-1,1280x720,10/Seconds,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,2.300000000000e+01,,,,,,,,,,,,,,,,False,False,,"Top Field First",,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,high,,,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,False
68,MP4_Gen3_x264_5Mbps_720p.spfx,"AVC High Profilie. Compatible with Apple TV (2G), iPad, and iPhone/iPod touch with Retina Display, and Android (3G) devices.","Devices.Apple/Android/Connected Devices Hybrid.Gen 3.x264",AACAudioCodec,ChannelModeStereo,192000,None,44100,16,x264H264,2800000,178%,BitRateModeTwoPassVBR,-1,1280x720,10/Seconds,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,2.300000000000e+01,,,,,,,,,,,,,,,,False,False,,"Top Field First",,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,high,,,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,False
69,MP4_Legacy_iPod_768Kbps_180p.spfx,"Midrange iPod, 16x9 aspect ratio. AVC Baseline Profilie.","Devices.Apple i-Devices",AACAudioCodec,ChannelModeStereo,128000,None,44100,16,MCptH264,550000,139%,BitRateModeTwoPassVBR,-1,320x180,10/Seconds,True,0,0,,0,,,,,,False,,,,False,95700,,,True,CAVLC,,,,,"Range 16-235, ITU-R Rec. BT.470-2",,,,,,,,,,,,,,,,,,,,,,,,"Top Field First",,False,,,,,,False,1,,,,,Progressive,,1.3,,,,,0,0,0,,,0,,,,,,,,,,,0,,,0,,10,"Square Pixels",,Baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,95700,,,,
70,MP4_Legacy_iPod_768Kbps_240p.spfx,"Legacy iPod, 4x3 aspect ratio. AVC Baseline Profilie.","Devices.Apple i-Devices",AACAudioCodec,ChannelModeStereo,128000,None,44100,16,MCptH264,550000,139%,BitRateModeTwoPassVBR,-1,320x240,10/Seconds,True,0,0,,0,,,,,,True,,,,False,95562,,,True,CAVLC,,,,,"Range 16-235, ITU-R Rec. BT.470-2",,,,,,,,,,,,,,,,,,,,,,,,"Top Field First",,False,,,,,,False,1,,,,,Progressive,,1.3,,,,,0,0,0,,,0,,,,,,,,,,,0,,3,0,,10,"Square Pixels",,Baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,95562,,,,
71,MP4_MS_IIS_h264_LF_16x9_720p.spfx,"h264 long form (More than five minutes).  For 16x9 HD content.  Connection speeds from slow DSL up to average broadband networks.","Web.Adaptive Bit Rate.Microsoft Smooth Streaming.Long Form",AACAudioCodec,ChannelModeStereo,64000,"Microsoft IIS Smooth Streaming",44100,16,MCptH264,110000,150%,BitRateModeOnePassCBR,-1,512x288,2/Seconds,True,0,0,,0,,,,,,True,,,,False,13744,,,True,CAVLC,,,,,"Range 16-235, ITU-R Rec. BT.470-2",,,,,,,,,,,,,,,,,,,,,,,,"Top Field First",,True,,,,,,False,1,,,,,Progressive,,3.0,,,,,0,0,0,,,0,,,,,,,,,,,0,,3,0,,10,"Square Pixels",,Baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,100,,,,
72,MP4_MS_IIS_h264_LF_16x9_720p.spfx,"h264 long form (More than five minutes).  For 16x9 HD content.  Connection speeds from slow DSL up to average broadband networks.","Web.Adaptive Bit Rate.Microsoft Smooth Streaming.Long Form",AACAudioCodec,ChannelModeStereo,64000,"Microsoft IIS Smooth Streaming",44100,16,MCptH264,110000,150%,BitRateModeOnePassCBR,-1,512x288,2/Seconds,True,0,0,,0,,,,,,True,,,,False,13744,,,True,CAVLC,,,,,"Range 16-235, ITU-R Rec. BT.470-2",,,,,,,,,,,,,,,,,,,,,,,,"Top Field First",,True,,,,,,False,1,,,,,Progressive,,3.0,,,,,0,0,0,,,0,,,,,,,,,,,0,,3,0,,10,"Square Pixels",,Baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,100,,,,
73,MP4_MS_IIS_h264_LF_16x9_720p.spfx,"h264 long form (More than five minutes).  For 16x9 HD content.  Connection speeds from slow DSL up to average broadband networks.","Web.Adaptive Bit Rate.Microsoft Smooth Streaming.Long Form",AACAudioCodec,ChannelModeStereo,64000,"Microsoft IIS Smooth Streaming",44100,16,MCptH264,110000,150%,BitRateModeOnePassCBR,-1,512x288,2/Seconds,True,0,0,,0,,,,,,True,,,,False,13744,,,True,CAVLC,,,,,"Range 16-235, ITU-R Rec. BT.470-2",,,,,,,,,,,,,,,,,,,,,,,,"Top Field First",,True,,,,,,False,1,,,,,Progressive,,3.0,,,,,0,0,0,,,0,,,,,,,,,,,0,,3,0,,10,"Square Pixels",,Baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,100,,,,
74,MP4_MS_IIS_h264_LF_16x9_720p.spfx,"h264 long form (More than five minutes).  For 16x9 HD content.  Connection speeds from slow DSL up to average broadband networks.","Web.Adaptive Bit Rate.Microsoft Smooth Streaming.Long Form",AACAudioCodec,ChannelModeStereo,64000,"Microsoft IIS Smooth Streaming",44100,16,MCptH264,110000,150%,BitRateModeOnePassCBR,-1,512x288,2/Seconds,True,0,0,,0,,,,,,True,,,,False,13744,,,True,CAVLC,,,,,"Range 16-235, ITU-R Rec. BT.470-2",,,,,,,,,,,,,,,,,,,,,,,,"Top Field First",,True,,,,,,False,1,,,,,Progressive,,3.0,,,,,0,0,0,,,0,,,,,,,,,,,0,,3,0,,10,"Square Pixels",,Baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,100,,,,
